#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2002-01-05, 21:01:54
# Real time (s): 1213075.660
# Live time (s): 1209818.120
#
# Total counts:  221428538
#
# Left marker:  20 (7.086 keV)
# Right marker: 50 (17.695 keV)
# Counts:       4574772
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: 0.012663
#     A1: 0.353645
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
201	71.095	105492	0.0871966
202	71.449	105907	0.0875396
203	71.803	106652	0.0881554
204	72.156	107433	0.088801
205	72.510	108626	0.089787
206	72.864	109830	0.0907822
207	73.217	111030	0.0917741
208	73.571	111252	0.0919576
209	73.924	111055	0.0917948
210	74.278	112111	0.0926676
211	74.632	113667	0.0939538
212	74.985	115783	0.0957028
213	75.339	117155	0.0968369
214	75.693	116532	0.0963219
215	76.046	115413	0.095397
216	76.400	115802	0.0957185
217	76.754	116135	0.0959938
218	77.107	117151	0.0968336
219	77.461	118509	0.097956
220	77.815	118870	0.0982544
221	78.168	119129	0.0984685
222	78.522	120067	0.0992438
223	78.876	119633	0.0988851
224	79.229	120168	0.0993273
225	79.583	121445	0.100383
226	79.936	121672	0.10057
227	80.290	122621	0.101355
228	80.644	123146	0.101789
229	80.997	123390	0.101991
230	81.351	125018	0.103336
231	81.705	125154	0.103449
232	82.058	125916	0.104078
233	82.412	126207	0.104319
234	82.766	126756	0.104773
235	83.119	128383	0.106118
236	83.473	127764	0.105606
237	83.827	128915	0.106557
238	84.180	130381	0.107769
239	84.534	131955	0.10907
240	84.887	134249	0.110966
241	85.241	134631	0.111282
242	85.595	133733	0.11054
243	85.948	132758	0.109734
244	86.302	132275	0.109335
245	86.656	132958	0.109899
246	87.009	134165	0.110897
247	87.363	134862	0.111473
248	87.717	135680	0.112149
249	88.070	136097	0.112494
250	88.424	136341	0.112695
251	88.778	135954	0.112376
252	89.131	135744	0.112202
253	89.485	136548	0.112867
254	89.839	137334	0.113516
255	90.192	137773	0.113879
256	90.546	138124	0.114169
257	90.899	138869	0.114785
258	91.253	138560	0.11453
259	91.607	139237	0.115089
260	91.960	139636	0.115419
261	92.314	141186	0.1167
262	92.668	144016	0.119039
263	93.021	145617	0.120363
264	93.375	144786	0.119676
265	93.729	142776	0.118014
266	94.082	142738	0.117983
267	94.436	142064	0.117426
268	94.790	142685	0.117939
269	95.143	143011	0.118209
270	95.497	143580	0.118679
271	95.850	143218	0.11838
272	96.204	144050	0.119067
273	96.558	143894	0.118939
274	96.911	144288	0.119264
275	97.265	144087	0.119098
276	97.619	144840	0.11972
277	97.972	144599	0.119521
278	98.326	145876	0.120577
279	98.680	145754	0.120476
280	99.033	145873	0.120574
281	99.387	146039	0.120712
282	99.741	146234	0.120873
283	100.094	145679	0.120414
284	100.448	146117	0.120776
285	100.801	146439	0.121042
286	101.155	146556	0.121139
287	101.509	147434	0.121865
288	101.862	146213	0.120855
289	102.216	147764	0.122137
290	102.570	147246	0.121709
291	102.923	147100	0.121589
292	103.277	148077	0.122396
293	103.631	147543	0.121955
294	103.984	147642	0.122037
295	104.338	147559	0.121968
296	104.692	147949	0.12229
297	105.045	148277	0.122561
298	105.399	148020	0.122349
299	105.753	148422	0.122681
300	106.106	148813	0.123004
301	106.460	148121	0.122432
302	106.813	148711	0.12292
303	107.167	148758	0.122959
304	107.521	148340	0.122613
305	107.874	148666	0.122883
306	108.228	148553	0.12279
307	108.582	148850	0.123035
308	108.935	148427	0.122685
309	109.289	149085	0.123229
310	109.643	148265	0.122551
311	109.996	148241	0.122532
312	110.350	148699	0.12291
313	110.704	148813	0.123004
314	111.057	148861	0.123044
315	111.411	147322	0.121772
316	111.764	148483	0.122732
317	112.118	147661	0.122052
318	112.472	147782	0.122152
319	112.825	148384	0.12265
320	113.179	148086	0.122404
321	113.533	147891	0.122242
322	113.886	147782	0.122152
323	114.240	147580	0.121985
324	114.594	146764	0.121311
325	114.947	147995	0.122328
326	115.301	147234	0.121699
327	115.655	147985	0.12232
328	116.008	147025	0.121527
329	116.362	146875	0.121403
330	116.716	147202	0.121673
331	117.069	147918	0.122265
332	117.423	146612	0.121185
333	117.776	146923	0.121442
334	118.130	148379	0.122646
335	118.484	147411	0.121846
336	118.837	147435	0.121865
337	119.191	147211	0.12168
338	119.545	147963	0.122302
339	119.898	146811	0.12135
340	120.252	147013	0.121517
341	120.606	147479	0.121902
342	120.959	147964	0.122303
343	121.313	146608	0.121182
344	121.667	147153	0.121632
345	122.020	148098	0.122413
346	122.374	147966	0.122304
347	122.727	147486	0.121908
348	123.081	147269	0.121728
349	123.435	147414	0.121848
350	123.788	147108	0.121595
351	124.142	147313	0.121765
352	124.496	147103	0.121591
353	124.849	147432	0.121863
354	125.203	147568	0.121975
355	125.557	147115	0.121601
356	125.910	146813	0.121351
357	126.264	146568	0.121149
358	126.618	146772	0.121317
359	126.971	146450	0.121051
360	127.325	146645	0.121212
361	127.679	146256	0.120891
362	128.032	146552	0.121136
363	128.386	146847	0.121379
364	128.739	145565	0.12032
365	129.093	146579	0.121158
366	129.447	145245	0.120055
367	129.800	145310	0.120109
368	130.154	144824	0.119707
369	130.508	146072	0.120739
370	130.861	145147	0.119974
371	131.215	145510	0.120274
372	131.569	145294	0.120096
373	131.922	144909	0.119778
374	132.276	144701	0.119606
375	132.630	144636	0.119552
376	132.983	144885	0.119758
377	133.337	144631	0.119548
378	133.690	143888	0.118934
379	134.044	144280	0.119258
380	134.398	143391	0.118523
381	134.751	143953	0.118987
382	135.105	143434	0.118558
383	135.459	144176	0.119172
384	135.812	143265	0.118419
385	136.166	142549	0.117827
386	136.520	143516	0.118626
387	136.873	142135	0.117485
388	137.227	142427	0.117726
389	137.581	142417	0.117718
390	137.934	141859	0.117256
391	138.288	141662	0.117094
392	138.642	141576	0.117023
393	138.995	141607	0.117048
394	139.349	141304	0.116798
395	139.702	140671	0.116275
396	140.056	140509	0.116141
397	140.410	140654	0.11626
398	140.763	139500	0.115307
399	141.117	139040	0.114926
400	141.471	138857	0.114775
401	141.824	138815	0.11474
402	142.178	137717	0.113833
403	142.532	137733	0.113846
404	142.885	137837	0.113932
405	143.239	138590	0.114554
406	143.593	136798	0.113073
407	143.946	137933	0.114011
408	144.300	136913	0.113168
409	144.653	137170	0.113381
410	145.007	136804	0.113078
411	145.361	136037	0.112444
412	145.714	135897	0.112328
413	146.068	135553	0.112044
414	146.422	135059	0.111636
415	146.775	134929	0.111528
416	147.129	135046	0.111625
417	147.483	134759	0.111388
418	147.836	135028	0.11161
419	148.190	133884	0.110665
420	148.544	133143	0.110052
421	148.897	133902	0.110679
422	149.251	133006	0.109939
423	149.605	133024	0.109954
424	149.958	132582	0.109588
425	150.312	131940	0.109058
426	150.665	131774	0.108921
427	151.019	132001	0.109108
428	151.373	131053	0.108325
429	151.726	131332	0.108555
430	152.080	130591	0.107943
431	152.434	130496	0.107864
432	152.787	129883	0.107357
433	153.141	130317	0.107716
434	153.495	129973	0.107432
435	153.848	129742	0.107241
436	154.202	129340	0.106909
437	154.556	129672	0.107183
438	154.909	128948	0.106585
439	155.263	128210	0.105975
440	155.616	127837	0.105666
441	155.970	128030	0.105826
442	156.324	127336	0.105252
443	156.677	127173	0.105117
444	157.031	127189	0.105131
445	157.385	126813	0.10482
446	157.738	126436	0.104508
447	158.092	126320	0.104412
448	158.446	125568	0.103791
449	158.799	125535	0.103764
450	159.153	125422	0.10367
451	159.507	124852	0.103199
452	159.860	124768	0.10313
453	160.214	124389	0.102816
454	160.568	124231	0.102686
455	160.921	123793	0.102324
456	161.275	123968	0.102468
457	161.628	123391	0.101991
458	161.982	122993	0.101662
459	162.336	122748	0.10146
460	162.689	122407	0.101178
461	163.043	121900	0.100759
462	163.397	122121	0.100942
463	163.750	121865	0.10073
464	164.104	121670	0.100569
465	164.458	120973	0.0999927
466	164.811	120836	0.0998795
467	165.165	120935	0.0999613
468	165.519	119914	0.0991174
469	165.872	119676	0.0989207
470	166.226	119569	0.0988322
471	166.579	119670	0.0989157
472	166.933	118674	0.0980924
473	167.287	118628	0.0980544
474	167.640	117730	0.0973121
475	167.994	117664	0.0972576
476	168.348	117887	0.0974419
477	168.701	117377	0.0970204
478	169.055	117035	0.0967377
479	169.409	116988	0.0966988
480	169.762	116364	0.0961831
481	170.116	116129	0.0959888
482	170.470	116221	0.0960649
483	170.823	115313	0.0953143
484	171.177	115189	0.0952118
485	171.531	115673	0.0956119
486	171.884	115008	0.0950622
487	172.238	114460	0.0946093
488	172.591	114319	0.0944927
489	172.945	114347	0.0945159
490	173.299	114719	0.0948233
491	173.652	113992	0.0942224
492	174.006	113582	0.0938835
493	174.360	112964	0.0933727
494	174.713	113733	0.0940083
495	175.067	113421	0.0937505
496	175.421	112494	0.0929842
497	175.774	112777	0.0932181
498	176.128	112589	0.0930627
499	176.482	111999	0.0925751
500	176.835	112116	0.0926718
501	177.189	111939	0.0925255
502	177.542	111441	0.0921138
503	177.896	111337	0.0920279
504	178.250	111296	0.091994
505	178.603	110994	0.0917444
506	178.957	110314	0.0911823
507	179.311	110169	0.0910624
508	179.664	110307	0.0911765
509	180.018	109984	0.0909095
510	180.372	109522	0.0905277
511	180.725	109217	0.0902756
512	181.079	109523	0.0905285
513	181.433	108485	0.0896705
514	181.786	108909	0.090021
515	182.140	108513	0.0896936
516	182.493	108377	0.0895812
517	182.847	108567	0.0897383
518	183.201	107966	0.0892415
519	183.554	107325	0.0887117
