#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2002-01-05, 21:01:54
# Real time (s): 1213075.660
# Live time (s): 1209818.120
#
# Total counts:  221428538
#
# Left marker:  20 (7.086 keV)
# Right marker: 50 (17.695 keV)
# Counts:       4574772
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: 0.012663
#     A1: 0.353645
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
1781	629.854	28022	0.0231622
1782	630.208	28060	0.0231936
1783	630.562	28135	0.0232556
1784	630.915	28000	0.023144
1785	631.269	28253	0.0233531
1786	631.623	28088	0.0232167
1787	631.976	28092	0.02322
1788	632.330	27937	0.0230919
1789	632.684	28053	0.0231878
1790	633.037	27919	0.023077
1791	633.391	28011	0.0231531
1792	633.745	27966	0.0231159
1793	634.098	27859	0.0230274
1794	634.452	28099	0.0232258
1795	634.805	28131	0.0232523
1796	635.159	27822	0.0229968
1797	635.513	27970	0.0231192
1798	635.866	28187	0.0232985
1799	636.220	27961	0.0231117
1800	636.574	27945	0.0230985
1801	636.927	28008	0.0231506
1802	637.281	27989	0.0231349
1803	637.635	27681	0.0228803
1804	637.988	27995	0.0231398
1805	638.342	27800	0.0229787
1806	638.696	27854	0.0230233
1807	639.049	27838	0.0230101
1808	639.403	27901	0.0230621
1809	639.757	27704	0.0228993
1810	640.110	27950	0.0231026
1811	640.464	27667	0.0228687
1812	640.817	27939	0.0230936
1813	641.171	27970	0.0231192
1814	641.525	27555	0.0227762
1815	641.878	27988	0.0231341
1816	642.232	28101	0.0232275
1817	642.586	27844	0.023015
1818	642.939	27724	0.0229158
1819	643.293	27678	0.0228778
1820	643.647	27562	0.0227819
1821	644.000	27857	0.0230258
1822	644.354	27785	0.0229663
1823	644.708	27980	0.0231274
1824	645.061	27553	0.0227745
1825	645.415	27825	0.0229993
1826	645.768	27589	0.0228043
1827	646.122	28004	0.0231473
1828	646.476	27501	0.0227315
1829	646.829	27746	0.022934
1830	647.183	27810	0.0229869
1831	647.537	27581	0.0227976
1832	647.890	27496	0.0227274
1833	648.244	28098	0.023225
1834	648.598	27730	0.0229208
1835	648.951	27624	0.0228332
1836	649.305	27666	0.0228679
1837	649.659	27630	0.0228381
1838	650.012	27786	0.0229671
1839	650.366	27609	0.0228208
1840	650.720	27510	0.022739
1841	651.073	27585	0.0228009
1842	651.427	27694	0.022891
1843	651.780	27799	0.0229778
1844	652.134	27732	0.0229225
1845	652.488	27600	0.0228133
1846	652.841	27519	0.0227464
1847	653.195	27714	0.0229076
1848	653.549	27648	0.022853
1849	653.902	27535	0.0227596
1850	654.256	27854	0.0230233
1851	654.610	27454	0.0226927
1852	654.963	27680	0.0228795
1853	655.317	27845	0.0230159
1854	655.671	27499	0.0227299
1855	656.024	27525	0.0227514
1856	656.378	27603	0.0228158
1857	656.731	27618	0.0228282
1858	657.085	27504	0.022734
1859	657.439	27480	0.0227142
1860	657.792	27917	0.0230754
1861	658.146	27238	0.0225141
1862	658.500	27525	0.0227514
1863	658.853	27646	0.0228514
1864	659.207	27249	0.0225232
1865	659.561	27343	0.0226009
1866	659.914	27482	0.0227158
1867	660.268	27559	0.0227795
1868	660.622	27518	0.0227456
1869	660.975	27445	0.0226852
1870	661.329	27218	0.0224976
1871	661.683	27546	0.0227687
1872	662.036	27506	0.0227356
1873	662.390	27759	0.0229448
1874	662.743	27761	0.0229464
1875	663.097	27492	0.0227241
1876	663.451	27388	0.0226381
1877	663.804	27478	0.0227125
1878	664.158	27752	0.022939
1879	664.512	27675	0.0228753
1880	664.865	27580	0.0227968
1881	665.219	27627	0.0228357
1882	665.573	27500	0.0227307
1883	665.926	27374	0.0226265
1884	666.280	27734	0.0229241
1885	666.634	27328	0.0225885
1886	666.987	27391	0.0226406
1887	667.341	27420	0.0226646
1888	667.694	27567	0.0227861
1889	668.048	27645	0.0228505
1890	668.402	27493	0.0227249
1891	668.755	27528	0.0227538
1892	669.109	27617	0.0228274
1893	669.463	27435	0.022677
1894	669.816	27346	0.0226034
1895	670.170	27404	0.0226513
1896	670.524	27191	0.0224753
1897	670.877	27369	0.0226224
1898	671.231	27435	0.022677
1899	671.585	27432	0.0226745
1900	671.938	27391	0.0226406
1901	672.292	27284	0.0225522
1902	672.646	27285	0.022553
1903	672.999	27120	0.0224166
1904	673.353	27307	0.0225712
1905	673.706	27249	0.0225232
1906	674.060	27226	0.0225042
1907	674.414	27270	0.0225406
1908	674.767	27436	0.0226778
1909	675.121	27522	0.0227489
1910	675.475	27210	0.022491
1911	675.828	27504	0.022734
1912	676.182	27448	0.0226877
1913	676.536	27388	0.0226381
1914	676.889	27158	0.022448
1915	677.243	27096	0.0223968
1916	677.597	27184	0.0224695
1917	677.950	27453	0.0226918
1918	678.304	27236	0.0225125
1919	678.657	27369	0.0226224
1920	679.011	27170	0.0224579
1921	679.365	27104	0.0224034
1922	679.718	27439	0.0226803
1923	680.072	27173	0.0224604
1924	680.426	26903	0.0222372
1925	680.779	27563	0.0227828
1926	681.133	27433	0.0226753
1927	681.487	27060	0.022367
1928	681.840	27301	0.0225662
1929	682.194	27276	0.0225455
1930	682.548	27589	0.0228043
1931	682.901	27004	0.0223207
1932	683.255	27345	0.0226026
1933	683.608	27274	0.0225439
1934	683.962	27013	0.0223281
1935	684.316	27163	0.0224521
1936	684.669	27080	0.0223835
1937	685.023	27147	0.0224389
1938	685.377	27167	0.0224554
1939	685.730	27532	0.0227571
1940	686.084	27083	0.022386
1941	686.438	27237	0.0225133
1942	686.791	27009	0.0223248
1943	687.145	27109	0.0224075
1944	687.499	27157	0.0224472
1945	687.852	27199	0.0224819
1946	688.206	27333	0.0225927
1947	688.560	27394	0.0226431
1948	688.913	27230	0.0225075
1949	689.267	27583	0.0227993
1950	689.620	27546	0.0227687
1951	689.974	27347	0.0226042
1952	690.328	27047	0.0223563
1953	690.681	27198	0.0224811
1954	691.035	27201	0.0224835
1955	691.389	27666	0.0228679
1956	691.742	27298	0.0225637
1957	692.096	27222	0.0225009
1958	692.450	27227	0.022505
1959	692.803	27619	0.0228291
1960	693.157	27564	0.0227836
1961	693.511	27172	0.0224596
1962	693.864	27456	0.0226943
1963	694.218	27435	0.022677
1964	694.571	27501	0.0227315
1965	694.925	27308	0.022572
1966	695.279	27236	0.0225125
1967	695.632	27661	0.0228638
1968	695.986	27439	0.0226803
1969	696.340	27091	0.0223926
1970	696.693	27108	0.0224067
1971	697.047	27222	0.0225009
1972	697.401	27200	0.0224827
1973	697.754	27217	0.0224968
1974	698.108	26993	0.0223116
1975	698.462	27147	0.0224389
1976	698.815	27102	0.0224017
1977	699.169	27151	0.0224422
1978	699.523	27385	0.0226356
1979	699.876	26985	0.022305
1980	700.230	27357	0.0226125
1981	700.583	27244	0.0225191
1982	700.937	27627	0.0228357
1983	701.291	27288	0.0225555
1984	701.644	26936	0.0222645
1985	701.998	26964	0.0222876
1986	702.352	27469	0.0227051
1987	702.705	27152	0.022443
1988	703.059	27167	0.0224554
1989	703.413	27288	0.0225555
1990	703.766	26796	0.0221488
1991	704.120	27164	0.022453
1992	704.474	27302	0.022567
1993	704.827	27301	0.0225662
1994	705.181	27172	0.0224596
1995	705.534	27517	0.0227447
1996	705.888	27075	0.0223794
1997	706.242	27386	0.0226365
1998	706.595	27152	0.022443
1999	706.949	27321	0.0225827
2000	707.303	27150	0.0224414
2001	707.656	27321	0.0225827
2002	708.010	27275	0.0225447
2003	708.364	26975	0.0222967
2004	708.717	27002	0.0223191
2005	709.071	27249	0.0225232
2006	709.425	27090	0.0223918
2007	709.778	27377	0.022629
2008	710.132	27317	0.0225794
2009	710.486	27458	0.022696
2010	710.839	27089	0.022391
2011	711.193	26865	0.0222058
2012	711.546	27201	0.0224835
2013	711.900	27674	0.0228745
2014	712.254	27221	0.0225001
2015	712.607	26898	0.0222331
2016	712.961	27092	0.0223934
2017	713.315	27293	0.0225596
2018	713.668	27099	0.0223992
2019	714.022	27253	0.0225265
2020	714.376	27077	0.0223811
2021	714.729	27084	0.0223868
2022	715.083	27166	0.0224546
2023	715.437	26904	0.0222381
2024	715.790	27247	0.0225216
2025	716.144	27058	0.0223653
2026	716.497	27056	0.0223637
2027	716.851	27147	0.0224389
2028	717.205	27387	0.0226373
2029	717.558	27175	0.0224621
2030	717.912	27335	0.0225943
2031	718.266	26976	0.0222976
2032	718.619	27304	0.0225687
2033	718.973	27005	0.0223215
2034	719.327	27157	0.0224472
2035	719.680	27409	0.0226555
2036	720.034	26615	0.0219992
2037	720.388	27000	0.0223174
2038	720.741	27255	0.0225282
2039	721.095	27005	0.0223215
2040	721.449	27075	0.0223794
2041	721.802	27178	0.0224645
2042	722.156	27085	0.0223877
2043	722.509	26797	0.0221496
2044	722.863	27062	0.0223687
2045	723.217	27108	0.0224067
2046	723.570	27175	0.0224621
2047	723.924	27126	0.0224216
2048	724.278	27052	0.0223604
2049	724.631	26826	0.0221736
2050	724.985	27077	0.0223811
2051	725.339	27049	0.0223579
2052	725.692	26640	0.0220198
2053	726.046	27470	0.0227059
2054	726.400	27133	0.0224273
2055	726.753	27337	0.022596
2056	727.107	27136	0.0224298
2057	727.460	27123	0.0224191
2058	727.814	27154	0.0224447
2059	728.168	26902	0.0222364
2060	728.521	27201	0.0224835
2061	728.875	27064	0.0223703
2062	729.229	26799	0.0221513
2063	729.582	26798	0.0221504
2064	729.936	26848	0.0221918
2065	730.290	27288	0.0225555
2066	730.643	27056	0.0223637
2067	730.997	26881	0.022219
2068	731.351	26994	0.0223124
2069	731.704	26809	0.0221595
2070	732.058	27048	0.0223571
2071	732.412	26940	0.0222678
2072	732.765	27149	0.0224406
2073	733.119	26940	0.0222678
2074	733.472	26846	0.0221901
2075	733.826	27007	0.0223232
2076	734.180	27104	0.0224034
2077	734.533	27196	0.0224794
2078	734.887	27098	0.0223984
2079	735.241	27054	0.022362
2080	735.594	27093	0.0223943
2081	735.948	27169	0.0224571
2082	736.302	27280	0.0225488
2083	736.655	26756	0.0221157
2084	737.009	27166	0.0224546
2085	737.363	27435	0.022677
2086	737.716	26706	0.0220744
2087	738.070	26931	0.0222604
2088	738.423	27101	0.0224009
2089	738.777	27026	0.0223389
2090	739.131	26643	0.0220223
2091	739.484	26942	0.0222695
2092	739.838	26765	0.0221232
2093	740.192	26797	0.0221496
2094	740.545	26734	0.0220975
2095	740.899	27267	0.0225381
2096	741.253	26884	0.0222215
2097	741.606	27012	0.0223273
2098	741.960	27206	0.0224877
2099	742.314	26956	0.022281
2100	742.667	27176	0.0224629
2101	743.021	26927	0.0222571
2102	743.375	26911	0.0222438
2103	743.728	26821	0.0221694
2104	744.082	26940	0.0222678
2105	744.435	26877	0.0222157
2106	744.789	26969	0.0222918
2107	745.143	26946	0.0222728
2108	745.496	26987	0.0223067
2109	745.850	26993	0.0223116
2110	746.204	26984	0.0223042
2111	746.557	27102	0.0224017
2112	746.911	27093	0.0223943
2113	747.265	26877	0.0222157
2114	747.618	26887	0.022224
2115	747.972	27088	0.0223901
2116	748.326	27079	0.0223827
2117	748.679	26832	0.0221785
2118	749.033	26843	0.0221876
2119	749.386	27103	0.0224025
2120	749.740	26972	0.0222943
2121	750.094	26779	0.0221347
2122	750.447	27329	0.0225893
2123	750.801	26859	0.0222009
2124	751.155	26963	0.0222868
2125	751.508	27004	0.0223207
2126	751.862	26957	0.0222819
2127	752.216	26726	0.0220909
2128	752.569	26921	0.0222521
2129	752.923	26785	0.0221397
2130	753.277	26830	0.0221769
2131	753.630	27173	0.0224604
2132	753.984	27163	0.0224521
2133	754.338	27157	0.0224472
2134	754.691	27026	0.0223389
2135	755.045	26828	0.0221752
2136	755.398	26948	0.0222744
2137	755.752	27015	0.0223298
2138	756.106	26917	0.0222488
2139	756.459	26991	0.02231
2140	756.813	27340	0.0225984
2141	757.167	27033	0.0223447
2142	757.520	27250	0.022524
2143	757.874	27113	0.0224108
2144	758.228	27014	0.022329
2145	758.581	26978	0.0222992
2146	758.935	27019	0.0223331
2147	759.289	26993	0.0223116
2148	759.642	27050	0.0223587
2149	759.996	27156	0.0224463
2150	760.349	27053	0.0223612
2151	760.703	27053	0.0223612
2152	761.057	27172	0.0224596
2153	761.410	27108	0.0224067
2154	761.764	27008	0.022324
2155	762.118	26991	0.02231
2156	762.471	26850	0.0221934
2157	762.825	27115	0.0224125
2158	763.179	26648	0.0220265
2159	763.532	26910	0.022243
2160	763.886	26981	0.0223017
2161	764.240	26826	0.0221736
2162	764.593	26865	0.0222058
2163	764.947	26967	0.0222901
2164	765.301	27352	0.0226084
2165	765.654	27145	0.0224373
2166	766.008	27054	0.022362
2167	766.361	27388	0.0226381
2168	766.715	27048	0.0223571
2169	767.069	26810	0.0221604
2170	767.422	27137	0.0224306
2171	767.776	27177	0.0224637
2172	768.130	27329	0.0225893
2173	768.483	27378	0.0226298
2174	768.837	27344	0.0226017
2175	769.191	27210	0.022491
2176	769.544	26986	0.0223058
2177	769.898	27250	0.022524
2178	770.252	26921	0.0222521
2179	770.605	27153	0.0224439
2180	770.959	27126	0.0224216
2181	771.312	27267	0.0225381
2182	771.666	27261	0.0225331
2183	772.020	27282	0.0225505
2184	772.373	26898	0.0222331
2185	772.727	27143	0.0224356
2186	773.081	27145	0.0224373
2187	773.434	27023	0.0223364
2188	773.788	27147	0.0224389
2189	774.142	26961	0.0222852
2190	774.495	27172	0.0224596
2191	774.849	26907	0.0222405
2192	775.203	27022	0.0223356
2193	775.556	27238	0.0225141
2194	775.910	27176	0.0224629
2195	776.263	27244	0.0225191
2196	776.617	27096	0.0223968
2197	776.971	27134	0.0224282
2198	777.324	27168	0.0224563
2199	777.678	27273	0.0225431
2200	778.032	27186	0.0224711
2201	778.385	27009	0.0223248
2202	778.739	27064	0.0223703
2203	779.093	27231	0.0225083
2204	779.446	26934	0.0222629
2205	779.800	26853	0.0221959
2206	780.154	26773	0.0221298
2207	780.507	27041	0.0223513
2208	780.861	27075	0.0223794
2209	781.215	27328	0.0225885
2210	781.568	27013	0.0223281
2211	781.922	27040	0.0223505
2212	782.275	26972	0.0222943
2213	782.629	26731	0.0220951
2214	782.983	27081	0.0223844
2215	783.336	26744	0.0221058
2216	783.690	26898	0.0222331
2217	784.044	26996	0.0223141
2218	784.397	27115	0.0224125
2219	784.751	26809	0.0221595
2220	785.105	27068	0.0223736
2221	785.458	26971	0.0222934
2222	785.812	26867	0.0222075
2223	786.166	26893	0.022229
2224	786.519	26678	0.0220512
2225	786.873	26717	0.0220835
2226	787.226	27161	0.0224505
2227	787.580	26796	0.0221488
2228	787.934	27242	0.0225174
2229	788.287	26989	0.0223083
2230	788.641	26890	0.0222265
2231	788.995	26999	0.0223166
2232	789.348	26762	0.0221207
2233	789.702	26729	0.0220934
2234	790.056	27082	0.0223852
2235	790.409	26731	0.0220951
2236	790.763	26913	0.0222455
2237	791.117	27017	0.0223315
2238	791.470	26888	0.0222248
2239	791.824	26925	0.0222554
2240	792.178	26867	0.0222075
2241	792.531	27021	0.0223348
2242	792.885	26969	0.0222918
2243	793.238	26667	0.0220422
2244	793.592	27167	0.0224554
2245	793.946	27014	0.022329
2246	794.299	27100	0.0224001
2247	794.653	27208	0.0224893
2248	795.007	27193	0.0224769
2249	795.360	26853	0.0221959
2250	795.714	26936	0.0222645
2251	796.068	26941	0.0222686
2252	796.421	26756	0.0221157
2253	796.775	27105	0.0224042
2254	797.129	27011	0.0223265
2255	797.482	26791	0.0221447
2256	797.836	26820	0.0221686
2257	798.189	26682	0.0220546
2258	798.543	26796	0.0221488
2259	798.897	26874	0.0222133
2260	799.250	26897	0.0222323
2261	799.604	26887	0.022224
2262	799.958	27159	0.0224488
2263	800.311	27072	0.0223769
2264	800.665	26679	0.0220521
2265	801.019	27111	0.0224092
2266	801.372	26992	0.0223108
2267	801.726	27195	0.0224786
2268	802.080	27346	0.0226034
2269	802.433	26972	0.0222943
2270	802.787	27198	0.0224811
2271	803.141	27456	0.0226943
2272	803.494	27142	0.0224348
2273	803.848	27178	0.0224645
2274	804.201	26835	0.022181
2275	804.555	26887	0.022224
2276	804.909	26987	0.0223067
2277	805.262	27331	0.022591
2278	805.616	26958	0.0222827
2279	805.970	27023	0.0223364
2280	806.323	27129	0.022424
2281	806.677	26659	0.0220355
2282	807.031	27137	0.0224306
2283	807.384	27224	0.0225026
2284	807.738	27000	0.0223174
2285	808.092	26840	0.0221852
2286	808.445	26958	0.0222827
2287	808.799	27173	0.0224604
2288	809.152	27062	0.0223687
2289	809.506	26879	0.0222174
2290	809.860	27081	0.0223844
2291	810.213	27191	0.0224753
2292	810.567	26673	0.0220471
2293	810.921	27078	0.0223819
2294	811.274	26736	0.0220992
2295	811.628	27195	0.0224786
2296	811.982	26981	0.0223017
2297	812.335	26875	0.0222141
2298	812.689	26634	0.0220149
2299	813.043	27057	0.0223645
2300	813.396	26709	0.0220769
2301	813.750	27199	0.0224819
2302	814.104	27294	0.0225604
2303	814.457	27155	0.0224455
2304	814.811	27047	0.0223563
2305	815.164	27174	0.0224612
2306	815.518	27195	0.0224786
2307	815.872	26981	0.0223017
2308	816.225	26975	0.0222967
2309	816.579	27246	0.0225207
2310	816.933	27147	0.0224389
2311	817.286	26935	0.0222637
2312	817.640	27023	0.0223364
2313	817.994	27206	0.0224877
2314	818.347	26993	0.0223116
2315	818.701	27066	0.022372
2316	819.055	26906	0.0222397
2317	819.408	26982	0.0223025
2318	819.762	27267	0.0225381
2319	820.115	26845	0.0221893
2320	820.469	26976	0.0222976
2321	820.823	27197	0.0224802
2322	821.176	27355	0.0226108
2323	821.530	27065	0.0223711
2324	821.884	27365	0.0226191
2325	822.237	27202	0.0224844
2326	822.591	27119	0.0224158
2327	822.945	27075	0.0223794
2328	823.298	27264	0.0225356
2329	823.652	27171	0.0224587
2330	824.006	27238	0.0225141
2331	824.359	27228	0.0225059
2332	824.713	26981	0.0223017
2333	825.067	27117	0.0224141
2334	825.420	27034	0.0223455
2335	825.774	26831	0.0221777
2336	826.127	27094	0.0223951
2337	826.481	27369	0.0226224
2338	826.835	27093	0.0223943
2339	827.188	27258	0.0225307
2340	827.542	27246	0.0225207
2341	827.896	27373	0.0226257
2342	828.249	27141	0.022434
2343	828.603	27112	0.02241
2344	828.957	27336	0.0225951
2345	829.310	27291	0.0225579
2346	829.664	27186	0.0224711
2347	830.018	27331	0.022591
2348	830.371	27671	0.022872
2349	830.725	27504	0.022734
2350	831.078	27351	0.0226075
2351	831.432	27427	0.0226703
2352	831.786	27199	0.0224819
2353	832.139	27462	0.0226993
2354	832.493	27571	0.0227894
2355	832.847	27416	0.0226613
2356	833.200	27396	0.0226447
2357	833.554	27053	0.0223612
2358	833.908	27124	0.0224199
2359	834.261	27589	0.0228043
2360	834.615	27383	0.022634
2361	834.969	27231	0.0225083
2362	835.322	27240	0.0225158
2363	835.676	27380	0.0226315
2364	836.030	27567	0.0227861
2365	836.383	26895	0.0222306
2366	836.737	27262	0.022534
2367	837.090	27559	0.0227795
2368	837.444	27080	0.0223835
2369	837.798	27221	0.0225001
2370	838.151	27388	0.0226381
2371	838.505	27260	0.0225323
2372	838.859	27548	0.0227704
2373	839.212	27383	0.022634
2374	839.566	27289	0.0225563
2375	839.920	27196	0.0224794
2376	840.273	26988	0.0223075
2377	840.627	27520	0.0227472
2378	840.981	27149	0.0224406
2379	841.334	27388	0.0226381
2380	841.688	27007	0.0223232
2381	842.041	27609	0.0228208
2382	842.395	27327	0.0225877
2383	842.749	27316	0.0225786
2384	843.102	27305	0.0225695
2385	843.456	27437	0.0226786
2386	843.810	27207	0.0224885
2387	844.163	27317	0.0225794
2388	844.517	27364	0.0226183
2389	844.871	27353	0.0226092
2390	845.224	27417	0.0226621
2391	845.578	27219	0.0224984
2392	845.932	27614	0.0228249
2393	846.285	27390	0.0226398
2394	846.639	27640	0.0228464
2395	846.993	27515	0.0227431
2396	847.346	27119	0.0224158
2397	847.700	27149	0.0224406
2398	848.053	27499	0.0227299
2399	848.407	27558	0.0227786
2400	848.761	27312	0.0225753
2401	849.114	27294	0.0225604
2402	849.468	27441	0.0226819
2403	849.822	27323	0.0225844
2404	850.175	27356	0.0226117
2405	850.529	27429	0.022672
2406	850.883	27434	0.0226761
2407	851.236	27413	0.0226588
2408	851.590	27246	0.0225207
2409	851.944	27736	0.0229258
2410	852.297	27519	0.0227464
2411	852.651	27342	0.0226001
2412	853.004	27579	0.022796
2413	853.358	27333	0.0225927
2414	853.712	27504	0.022734
2415	854.065	27590	0.0228051
2416	854.419	27082	0.0223852
2417	854.773	27429	0.022672
2418	855.126	27389	0.0226389
2419	855.480	27558	0.0227786
2420	855.834	27547	0.0227695
2421	856.187	27510	0.022739
2422	856.541	27437	0.0226786
2423	856.895	27442	0.0226827
2424	857.248	27190	0.0224745
2425	857.602	27423	0.022667
2426	857.955	27722	0.0229142
2427	858.309	27527	0.022753
2428	858.663	27327	0.0225877
2429	859.016	27645	0.0228505
2430	859.370	27419	0.0226637
2431	859.724	27567	0.0227861
2432	860.077	27847	0.0230175
2433	860.431	27872	0.0230382
2434	860.785	28045	0.0231812
2435	861.138	27732	0.0229225
2436	861.492	27367	0.0226208
2437	861.846	27577	0.0227943
2438	862.199	27391	0.0226406
2439	862.553	27217	0.0224968
2440	862.907	27518	0.0227456
2441	863.260	27472	0.0227075
2442	863.614	27257	0.0225298
2443	863.967	27804	0.022982
2444	864.321	27592	0.0228067
2445	864.675	27322	0.0225836
2446	865.028	27510	0.022739
2447	865.382	27660	0.0228629
2448	865.736	27755	0.0229415
2449	866.089	27500	0.0227307
2450	866.443	27683	0.022882
2451	866.797	27619	0.0228291
2452	867.150	27756	0.0229423
2453	867.504	27502	0.0227323
2454	867.858	27436	0.0226778
2455	868.211	27427	0.0226703
2456	868.565	27794	0.0229737
2457	868.918	27351	0.0226075
2458	869.272	27637	0.0228439
2459	869.626	27883	0.0230473
2460	869.979	27457	0.0226951
2461	870.333	27738	0.0229274
2462	870.687	27834	0.0230068
2463	871.040	27795	0.0229745
2464	871.394	27951	0.0231035
2465	871.748	27477	0.0227117
2466	872.101	27543	0.0227662
2467	872.455	27699	0.0228952
2468	872.809	27993	0.0231382
2469	873.162	27813	0.0229894
2470	873.516	28200	0.0233093
2471	873.870	27662	0.0228646
2472	874.223	27534	0.0227588
2473	874.577	27697	0.0228935
2474	874.930	27645	0.0228505
2475	875.284	27597	0.0228109
2476	875.638	28027	0.0231663
2477	875.991	27930	0.0230861
2478	876.345	27602	0.022815
2479	876.699	27797	0.0229762
2480	877.052	27759	0.0229448
2481	877.406	27810	0.0229869
2482	877.760	27790	0.0229704
2483	878.113	27783	0.0229646
2484	878.467	27682	0.0228811
2485	878.821	27785	0.0229663
2486	879.174	27600	0.0228133
2487	879.528	27957	0.0231084
2488	879.881	27558	0.0227786
2489	880.235	27913	0.0230721
2490	880.589	28408	0.0234812
2491	880.942	27957	0.0231084
2492	881.296	27531	0.0227563
2493	881.650	27787	0.0229679
2494	882.003	27818	0.0229935
2495	882.357	27794	0.0229737
2496	882.711	27512	0.0227406
2497	883.064	27392	0.0226414
2498	883.418	27742	0.0229307
2499	883.772	27953	0.0231051
2500	884.125	28049	0.0231845
2501	884.479	28099	0.0232258
2502	884.833	27953	0.0231051
2503	885.186	27953	0.0231051
2504	885.540	28127	0.0232489
2505	885.893	27778	0.0229605
2506	886.247	27740	0.0229291
2507	886.601	27746	0.022934
2508	886.954	28126	0.0232481
2509	887.308	28220	0.0233258
2510	887.662	27901	0.0230621
2511	888.015	28471	0.0235333
2512	888.369	28231	0.0233349
2513	888.723	27593	0.0228076
2514	889.076	27957	0.0231084
2515	889.430	28144	0.023263
2516	889.784	28047	0.0231828
2517	890.137	27833	0.0230059
2518	890.491	28101	0.0232275
2519	890.844	28115	0.023239
2520	891.198	28240	0.0233424
2521	891.552	27952	0.0231043
2522	891.905	27678	0.0228778
2523	892.259	28155	0.0232721
2524	892.613	27970	0.0231192
2525	892.966	28053	0.0231878
2526	893.320	27734	0.0229241
2527	893.674	27948	0.023101
2528	894.027	28063	0.023196
2529	894.381	27788	0.0229687
2530	894.735	27967	0.0231167
2531	895.088	27946	0.0230993
2532	895.442	28061	0.0231944
2533	895.796	28203	0.0233118
2534	896.149	28013	0.0231547
2535	896.503	27953	0.0231051
2536	896.856	28008	0.0231506
2537	897.210	28113	0.0232374
2538	897.564	28541	0.0235911
2539	897.917	28254	0.0233539
2540	898.271	27963	0.0231134
2541	898.625	28158	0.0232746
2542	898.978	27839	0.0230109
2543	899.332	28322	0.0234101
2544	899.686	27870	0.0230365
2545	900.039	28108	0.0232332
2546	900.393	28270	0.0233671
2547	900.747	28148	0.0232663
2548	901.100	27990	0.0231357
2549	901.454	27782	0.0229638
2550	901.807	28016	0.0231572
2551	902.161	28124	0.0232465
2552	902.515	28489	0.0235482
2553	902.868	28287	0.0233812
2554	903.222	27994	0.023139
2555	903.576	27949	0.0231018
2556	903.929	28150	0.023268
2557	904.283	28355	0.0234374
2558	904.637	27863	0.0230307
2559	904.990	28437	0.0235052
2560	905.344	28107	0.0232324
2561	905.698	28641	0.0236738
2562	906.051	28112	0.0232366
2563	906.405	28302	0.0233936
2564	906.759	28294	0.023387
2565	907.112	28499	0.0235564
2566	907.466	27986	0.0231324
2567	907.819	28381	0.0234589
2568	908.173	27983	0.0231299
2569	908.527	28084	0.0232134
2570	908.880	28286	0.0233804
2571	909.234	28307	0.0233977
2572	909.588	28458	0.0235225
2573	909.941	28668	0.0236961
2574	910.295	28461	0.023525
2575	910.649	29029	0.0239945
2576	911.002	29014	0.0239821
2577	911.356	29170	0.0241111
2578	911.710	28660	0.0236895
2579	912.063	28536	0.023587
2580	912.417	28703	0.0237251
2581	912.770	28117	0.0232407
2582	913.124	28472	0.0235341
2583	913.478	28409	0.023482
2584	913.831	28454	0.0235192
2585	914.185	28369	0.023449
2586	914.539	28424	0.0234944
2587	914.892	28767	0.023778
2588	915.246	28222	0.0233275
2589	915.600	28539	0.0235895
2590	915.953	28389	0.0234655
2591	916.307	28304	0.0233953
2592	916.661	28632	0.0236664
2593	917.014	28708	0.0237292
2594	917.368	28775	0.0237846
2595	917.722	28586	0.0236283
2596	918.075	28796	0.0238019
2597	918.429	28532	0.0235837
2598	918.782	28566	0.0236118
2599	919.136	28616	0.0236531
2600	919.490	28547	0.0235961
2601	919.843	28580	0.0236234
2602	920.197	28444	0.023511
2603	920.551	28478	0.0235391
2604	920.904	28542	0.023592
2605	921.258	28725	0.0237432
2606	921.612	28758	0.0237705
2607	921.965	28516	0.0235705
2608	922.319	28553	0.0236011
2609	922.673	28545	0.0235945
2610	923.026	28581	0.0236242
2611	923.380	28334	0.02342
2612	923.733	28383	0.0234606
2613	924.087	28830	0.02383
2614	924.441	28625	0.0236606
2615	924.794	28860	0.0238548
2616	925.148	28732	0.023749
2617	925.502	28786	0.0237937
2618	925.855	28749	0.0237631
2619	926.209	28763	0.0237746
2620	926.563	28347	0.0234308
2621	926.916	28624	0.0236598
2622	927.270	28577	0.0236209
2623	927.624	28842	0.0238399
2624	927.977	29034	0.0239986
2625	928.331	29189	0.0241268
2626	928.685	28680	0.023706
2627	929.038	28823	0.0238242
2628	929.392	29105	0.0240573
2629	929.745	29007	0.0239763
2630	930.099	29105	0.0240573
2631	930.453	28990	0.0239623
2632	930.806	28947	0.0239267
2633	931.160	28865	0.023859
2634	931.514	29127	0.0240755
2635	931.867	28745	0.0237598
2636	932.221	29174	0.0241144
2637	932.575	29202	0.0241375
2638	932.928	28756	0.0237689
2639	933.282	28906	0.0238928
2640	933.636	28969	0.0239449
2641	933.989	29183	0.0241218
2642	934.343	29193	0.0241301
